,Instrument,Stock Price,Cash and Short Term Investments,Market Value for Company,CIK Number,Inventories (CF),Price,"Working Capital, Period over Period Average (Pvt)",Retained Earnings (Accumulated Deficit),"Working Capital, Period over Period % Change (Pvt)",Bankruptcy Filing Date
357,804154,,927000.0,,,232000.0,,,-155230000.0,,
358,804154,,927000.0,,,232000.0,,,-155230000.0,,
359,804154,,927000.0,,,232000.0,,,-155230000.0,,
360,804154,,927000.0,,,232000.0,,,-155230000.0,,
361,804154,,927000.0,,,232000.0,,,-155230000.0,,
362,804154,,927000.0,,,232000.0,,,-155230000.0,,
363,804154,,927000.0,,,232000.0,,,-155230000.0,,
364,804154,,927000.0,,,232000.0,,,-155230000.0,,
365,804154,,927000.0,,,232000.0,,,-155230000.0,,
366,804154,,927000.0,,,232000.0,,,-155230000.0,,
367,804154,,927000.0,,,232000.0,,,-155230000.0,,
368,804154,,927000.0,,,232000.0,,,-155230000.0,,
369,804154,,927000.0,,,232000.0,,,-155230000.0,,
370,804154,,927000.0,,,232000.0,,,-155230000.0,,
371,804154,,927000.0,,,232000.0,,,-155230000.0,,
372,804154,,927000.0,,,232000.0,,,-155230000.0,,
373,804154,,927000.0,,,232000.0,,,-155230000.0,,
374,804154,,927000.0,,,232000.0,,,-155230000.0,,
375,804154,,927000.0,,,232000.0,,,-155230000.0,,
376,804154,,927000.0,,,232000.0,,,-155230000.0,,
377,804154,,927000.0,,,232000.0,,,-155230000.0,,
378,804154,,927000.0,,,232000.0,,,-155230000.0,,
379,804154,,927000.0,,,232000.0,,,-155230000.0,,
380,804154,,927000.0,,,232000.0,,,-155230000.0,,
381,804154,,927000.0,,,232000.0,,,-155230000.0,,
382,804154,,927000.0,,,232000.0,,,-155230000.0,,
383,804154,,927000.0,,,232000.0,,,-155230000.0,,
384,804154,,927000.0,,,232000.0,,,-155230000.0,,
385,804154,,927000.0,,,232000.0,,,-155230000.0,,
386,804154,,927000.0,,,232000.0,,,-155230000.0,,
387,804154,,927000.0,,,232000.0,,,-155230000.0,,
388,804154,,927000.0,,,232000.0,,,-155230000.0,,
389,804154,,927000.0,,,232000.0,,,-155230000.0,,
390,804154,,927000.0,,,232000.0,,,-155230000.0,,
391,885551,,2454000.0,,885551.0,0.0,,,-154436000.0,,
392,885551,,24556000.0,,,-1641000.0,,,-223582000.0,,
393,885551,,24556000.0,,,-1641000.0,,,-223582000.0,,
394,885551,,24556000.0,,,-1641000.0,,,-223582000.0,,
395,885551,,24556000.0,,,-1641000.0,,,-223582000.0,,
396,885551,,8888000.0,,,-3185000.0,,,-267083000.0,,
397,885551,,8888000.0,,,-3185000.0,,,-267083000.0,,
398,885551,,8888000.0,,,-3185000.0,,,-267083000.0,,
399,885551,,8888000.0,,,-3185000.0,,,-267083000.0,,
400,885551,,623000.0,,,2243000.0,,,-336703000.0,,
401,885551,,623000.0,,,2243000.0,,,-336703000.0,,
402,885551,,623000.0,,,2243000.0,,,-336703000.0,,
403,885551,,623000.0,,,2243000.0,,,-336703000.0,,
404,885551,,6616000.0,,,-166000.0,,,-374604000.0,,
405,885551,,6616000.0,,,-166000.0,,,-374604000.0,,
406,885551,,6616000.0,,,-166000.0,,,-374604000.0,,
407,885551,,6616000.0,,,-166000.0,,,-374604000.0,,
408,885551,,2692000.0,,,-1256000.0,,,-429724000.0,,
409,885551,,2692000.0,,,-1256000.0,,,-429724000.0,,
410,885551,,2692000.0,,,-1256000.0,,,-429724000.0,,
411,885551,,2692000.0,,,-1256000.0,,,-429724000.0,,
412,885551,,2500000.0,,,754000.0,,,-461328000.0,,
413,885551,,2500000.0,,,754000.0,,,-461328000.0,,
414,885551,,2500000.0,,,754000.0,,,-461328000.0,,
415,885551,,2500000.0,,,754000.0,,,-461328000.0,,
416,885551,,612000.0,,,-174000.0,,,-494224000.0,,
417,885551,,612000.0,,,-174000.0,,,-494224000.0,,
418,885551,,612000.0,,,-174000.0,,,-494224000.0,,
419,885551,,612000.0,,,-174000.0,,,-494224000.0,,
420,885551,,1168000.0,,,-5177000.0,,,-516647000.0,,
421,885551,,1168000.0,,,-5177000.0,,,-516647000.0,,
422,885551,,1168000.0,,,-5177000.0,,,-516647000.0,,
423,885551,,1168000.0,,,-5177000.0,,,-516647000.0,,
424,885551,,2616000.0,,,1404000.0,,,-536260000.0,,
425,885551,,2616000.0,,,1404000.0,,,-536260000.0,,
426,885551,,2616000.0,,,1404000.0,,,-536260000.0,,
427,885551,,2616000.0,,,1404000.0,,,-536260000.0,,
428,885551,,4009000.0,,,-1484000.0,,,-557657000.0,,
429,885551,,4009000.0,,,-1484000.0,,,-557657000.0,,
430,885551,,4009000.0,,,-1484000.0,,,-557657000.0,,
431,885551,,4009000.0,,,-1484000.0,,,-557657000.0,,
432,885551,,3172000.0,,,3640000.0,,,-580845000.0,,
433,885551,,3172000.0,,,3640000.0,,,-580845000.0,,
434,885551,,3172000.0,,,3640000.0,,,-580845000.0,,
435,885551,,3172000.0,,,3640000.0,,,-580845000.0,,
436,885551,,2915000.0,,,-8560000.0,,,-593702000.0,,
437,885551,,2915000.0,,,-8560000.0,,,-593702000.0,,
438,885551,,2915000.0,,,-8560000.0,,,-593702000.0,,
439,885551,,2915000.0,,,-8560000.0,,,-593702000.0,,
440,885551,,1428000.0,,,-973000.0,,,-606608000.0,,
441,885551,,1428000.0,,,-973000.0,,,-606608000.0,,
442,885551,,1428000.0,,,-973000.0,,,-606608000.0,,
443,885551,,1428000.0,,,-973000.0,,,-606608000.0,,
444,885551,,1428000.0,,,-973000.0,,,-606608000.0,,
445,885551,,1428000.0,,,-973000.0,,,-606608000.0,,
446,885551,,1428000.0,,,-973000.0,,,-606608000.0,,
447,885551,,1428000.0,,,-973000.0,,,-606608000.0,,
