,Instrument,Market Capitalisation,Instrument Is Active Flag,Company Common Name,"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)",Total Current Assets,Net Debt Incl. Pref.Stock & Min.Interest,"Net Income/Starting Line, Cumulative",Delisted Quote Flag,Tangible Book Value - Insurance,Pricing Volatility
311,1048268,,,,,262693000.0,6549000.0,-13803000.0,,139115000.0,
312,1329184,,,Covalent Energy International Inc,,,,,,,
313,804154,,1.0,Lithium Technology Corp,,1167000.0,4427000.0,-3261000.0,0.0,-3933000.0,
314,804154,,,,,77000.0,780000.0,-4593000.0,,-920000.0,
315,804154,,,,,77000.0,780000.0,-4593000.0,,-920000.0,
316,804154,,,,,77000.0,780000.0,-4593000.0,,-920000.0,
317,804154,,,,,77000.0,780000.0,-4593000.0,,-920000.0,
318,804154,,,,,52000.0,3499000.0,-3503000.0,,-3580000.0,
319,804154,,,,,52000.0,3499000.0,-3503000.0,,-3580000.0,
320,804154,,,,,70000.0,5351000.0,-4210000.0,,-5579000.0,
321,804154,,,,,70000.0,5351000.0,-4210000.0,,-5579000.0,
322,804154,,,,,70000.0,5351000.0,-4210000.0,,-5579000.0,
323,804154,,,,,70000.0,5351000.0,-4210000.0,,-5579000.0,
324,804154,,,,,70000.0,5351000.0,-4210000.0,,-5579000.0,
325,804154,,,,,1040000.0,34708000.0,-9184000.0,,-28179000.0,
326,804154,,,,,1040000.0,34708000.0,-9184000.0,,-28179000.0,
327,804154,,,,,1040000.0,34708000.0,-9184000.0,,-28179000.0,
328,804154,,,,,1040000.0,34708000.0,-9184000.0,,-28179000.0,
329,804154,,,,,1040000.0,34708000.0,-9184000.0,,-28179000.0,
330,804154,,,,,999000.0,49724000.0,-10191000.0,,-42324000.0,
331,804154,,,,,999000.0,49724000.0,-10191000.0,,-42324000.0,
332,804154,,,,,999000.0,49724000.0,-10191000.0,,-42324000.0,
333,804154,,,,,999000.0,49724000.0,-10191000.0,,-42324000.0,
334,804154,,,,,1481000.0,19060000.0,-38218000.0,,-29947000.0,
335,804154,,,,,1481000.0,19060000.0,-38218000.0,,-29947000.0,
336,804154,,,,,1481000.0,19060000.0,-38218000.0,,-29947000.0,
337,804154,,,,,1481000.0,19060000.0,-38218000.0,,-29947000.0,
338,804154,,,,,1310000.0,13441000.0,-10582000.0,,-17074000.0,
339,804154,,,,,1310000.0,13441000.0,-10582000.0,,-17074000.0,
340,804154,,,,,1310000.0,13441000.0,-10582000.0,,-17074000.0,
341,804154,,,,,1310000.0,13441000.0,-10582000.0,,-17074000.0,
342,804154,,,,,1310000.0,13441000.0,-10582000.0,,-17074000.0,
343,804154,,,,,1310000.0,13441000.0,-10582000.0,,-17074000.0,
344,804154,,,,,1310000.0,13441000.0,-10582000.0,,-17074000.0,
345,804154,,,,,4230000.0,17788000.0,-20289000.0,,-22010000.0,
346,804154,,,,,9008000.0,7288000.0,-24391000.0,,-16924000.0,
347,804154,,,,,9008000.0,7288000.0,-24391000.0,,-16924000.0,
348,804154,,,,,9008000.0,7288000.0,-24391000.0,,-16924000.0,
349,804154,,,,,9008000.0,7288000.0,-24391000.0,,-16924000.0,
350,804154,,,,,3752000.0,16891000.0,-6414000.0,,-10793000.0,
351,804154,,,,,3752000.0,16891000.0,-6414000.0,,-10793000.0,
352,804154,,,,,3752000.0,16891000.0,-6414000.0,,-10793000.0,
353,804154,,,,,3752000.0,16891000.0,-6414000.0,,-10793000.0,
354,804154,,,,,4224000.0,21968000.0,-10510000.0,,-17840000.0,
355,804154,,,,,4224000.0,21968000.0,-10510000.0,,-17840000.0,
356,804154,,,,,4224000.0,21968000.0,-10510000.0,,-17840000.0,
357,804154,,,,,3078000.0,23204000.0,-7247000.0,,-23381000.0,
358,804154,,,,,3078000.0,23204000.0,-7247000.0,,-23381000.0,
359,804154,,,,,3078000.0,23204000.0,-7247000.0,,-23381000.0,
360,804154,,,,,3078000.0,23204000.0,-7247000.0,,-23381000.0,
361,804154,,,,,3078000.0,23204000.0,-7247000.0,,-23381000.0,
362,804154,,,,,3078000.0,23204000.0,-7247000.0,,-23381000.0,
363,804154,,,,,3078000.0,23204000.0,-7247000.0,,-23381000.0,
364,804154,,,,,3078000.0,23204000.0,-7247000.0,,-23381000.0,
365,804154,,,,,3078000.0,23204000.0,-7247000.0,,-23381000.0,
366,804154,,,,,3078000.0,23204000.0,-7247000.0,,-23381000.0,
367,804154,,,,,3078000.0,23204000.0,-7247000.0,,-23381000.0,
