Instrument,Instrument Is Active Flag,Cash and Short Term Investments,"Working Capital, Period over Period Average (Pvt)",Company Common Name,Operating Income,Tangible Book Value - Reported,Depreciation And Amortization,Earnings Before Interest & Taxes (EBIT) (Pvt),CIK Number,Total Equity,Tangible Book Value - Utility,Inventories (CF),Price,Net Sales,Pricing Volatility,Retained Earnings (Accumulated Deficit),Accounts Payable (CF),Geographic Earnings Before Interest and Taxes (EBIT),Market Value for Company,Delisted Quote Flag,"Working Capital, Period over Period % Change (Pvt)",Total Current Assets,Total Liabilities,"Total Assets, Reported",Tangible Book Value - Banks,"Net Income/Starting Line, Cumulative",Total Current Liabilities,Market Capitalisation,Stock Price,NAICS Industry Group Name,Tangible Book Value - Insurance,Tangible Book Value Per Share,Net Debt Incl. Pref.Stock & Min.Interest,Cash,Business Earnings Before Interest and Taxes (EBIT),Total Debt,"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)"
1115222,0.0,145300000.0,,Dun & Bradstreet Corp,217500000.0,-262200000.0,94500000.0,,1115222.0,-19000000.0,-262200000.0,,,1304600000.0,,140700000.0,,,2563430000.0,0.0,,580200000.0,1481600000.0,1462600000.0,-262200000.0,149900000.0,692200000.0,,,"Data Processing, Hosting, and Related Services",-262200000.0,-3.41059,155600000.0,,,299600000.0,
1115222,,191900000.0,,,253000000.0,-271600000.0,84200000.0,,,-18800000.0,-271600000.0,,,1275600000.0,,284000000.0,,,3686920000.0,,,614200000.0,1546500000.0,1527700000.0,-271600000.0,143400000.0,718100000.0,,,,-271600000.0,-3.65255,108000000.0,,,299900000.0,
846930,0.0,7200000.0,,Duquesne Light Holdings Inc,-57900000.0,508500000.0,348600000.0,,846930.0,606300000.0,508500000.0,1900000.0,,,,759700000.0,-43200000.0,,,1.0,,395000000.0,2629400000.0,3235700000.0,508500000.0,-153400000.0,398100000.0,,,"Electric Power Generation, Transmission and Distribution",508500000.0,9.09525,1576100000.0,,,1485500000.0,
846930,,93900000.0,,,62000000.0,452600000.0,185600000.0,,,555000000.0,452600000.0,3100000.0,,,,452900000.0,5100000.0,,,,,448800000.0,2245800000.0,2800800000.0,452600000.0,-214600000.0,249000000.0,,,,452600000.0,6.08784,1241500000.0,,,1233000000.0,
30625,1.0,21500000.0,,Flowserve Corp,105395000.0,-247330000.0,,,30625.0,399624000.0,-247330000.0,-44597000.0,,1917332000.0,,344588000.0,,,816480000.0,0.0,,898903000.0,1644304000.0,2043928000.0,-247330000.0,-10488000.0,420086000.0,,,Other General Purpose Machinery Manufacturing,-247330000.0,-1.84058,1019245000.0,,,1040745000.0,
30625,,49245000.0,,,156352000.0,-297835000.0,,,,721283000.0,-297835000.0,36358000.0,,2228036000.0,,390085000.0,,,1153830000.0,,,1014499000.0,1895779000.0,2617062000.0,-297835000.0,34759000.0,511312000.0,,,,-297835000.0,-1.81099,1045113000.0,,,1094358000.0,
67215,1.0,116052000.0,,Dycom Industries Inc,-30670000.0,323554000.0,38844000.0,,67215.0,431297000.0,323554000.0,,,624021000.0,,80801000.0,-8515000.0,,634260000.0,0.0,,256736000.0,83257000.0,514553000.0,323554000.0,-123027000.0,70552000.0,,,Building Equipment Contractors,323554000.0,6.76235,-115943000.0,,,109000.0,
67215,,129852000.0,,,26174000.0,342994000.0,39073000.0,,,450340000.0,342994000.0,,,618183000.0,,97950000.0,-3876000.0,,1294200000.0,,,305472000.0,86203000.0,536543000.0,342994000.0,17149000.0,70734000.0,,,,342994000.0,7.14768,-129822000.0,,,30000.0,
720875,1.0,397000.0,,Dynatronics Corp,775000.0,6728000.0,,,720875.0,7577000.0,6728000.0,706000.0,,17134000.0,,5098000.0,,,6250000.0,0.0,,8084000.0,4932000.0,12509000.0,6728000.0,316000.0,2601000.0,,,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",6728000.0,3.79284,3215000.0,397000.0,,3612000.0,
720875,,404000.0,,,200000.0,6760000.0,,,,7601000.0,6760000.0,-1048000.0,,16897000.0,,5122000.0,,,15830000.0,,,8425000.0,5112000.0,12711000.0,6760000.0,25000.0,2908000.0,,,,6760000.0,3.81088,2931000.0,404000.0,,3335000.0,
