Instrument,Total Debt,Accounts Payable (CF),NAICS Industry Group Name,Inventories (CF),Delisted Quote Flag,Retained Earnings (Accumulated Deficit),Net Debt Incl. Pref.Stock & Min.Interest,Total Current Assets,Total Liabilities,Company Common Name,CIK Number,Total Equity,Tangible Book Value - Banks,Tangible Book Value - Insurance,"Net Income/Starting Line, Cumulative",Tangible Book Value - Reported,Cash and Short Term Investments,Market Value for Company,Tangible Book Value Per Share,Net Sales,Operating Income,Instrument Is Active Flag,Tangible Book Value - Utility,"Total Assets, Reported",Depreciation And Amortization,Total Current Liabilities
1648257,46787000.0,17621000.0,Scientific Research and Development Services,-3430000.0,0.0,-80357000.0,-37744000.0,167380000.0,158167000.0,Hutchison China MediTech Ltd,1648257.0,184270000.0,180664000.0,180664000.0,14557000.0,180664000.0,104321000.0,3721030000.0,0.29761,216080000.0,-46697000.0,1.0,180664000.0,342437000.0,,95119000.0
1718903,0.0,,Scientific Research and Development Services,575690.0,0.0,-70885720.0,-21429870.0,21785090.0,3198880.0,Realm Therapeutics Ltd,1718903.0,19048110.0,19048110.0,19048110.0,-507240.0,19048110.0,21429870.0,43130000.0,0.37971,866940.0,-7306920.0,0.0,19048110.0,22246990.0,,3198880.0
1532981,269870000.0,4172000.0,Motion Picture and Video Industries,-412000.0,0.0,421012000.0,236694000.0,362477000.0,538908000.0,Eros International PLC,1532981.0,804457000.0,-123523000.0,-123523000.0,22494000.0,-123523000.0,112267000.0,684240000.0,-2.03526,252994000.0,25445000.0,1.0,-123523000.0,1343365000.0,,316101000.0
1370140,,,Oil and Gas Extraction,,,,,,,Petrominerales Colombia Corp (Bogota Branch),1370140.0,,,,,,,,,,,,,,,
1378845,133532000.0,-32230000.0,Metal Ore Mining,286000.0,0.0,-5888638000.0,129958000.0,109026000.0,659615000.0,MMX Mineracao e Metalicos SA,1378845.0,-473429000.0,-473429000.0,-473429000.0,412821000.0,-473429000.0,3571000.0,19210000.0,-72.96994,,411824000.0,1.0,-473429000.0,186186000.0,703000.0,567846000.0
1748679,,,,,,,,,,,,,,,,,,,,,,,,,,
1384180,3363267000.0,,Metal Ore Mining,115031000.0,0.0,916331000.0,2732967000.0,497325000.0,4598958000.0,Katanga Mining Ltd,1384180.0,1107081000.0,1107081000.0,1107081000.0,-641248000.0,1107081000.0,1518000.0,3528660000.0,0.58042,-30127000.0,-268209000.0,1.0,1107081000.0,5706039000.0,28126000.0,1849339000.0
1384180,,,,,,,,,,,1305687.0,,,,,,,,,,,,,,,
1417892,624269660.0,-2432060.0,Utility System Construction,,0.0,-469975150.0,586933280.0,507494020.0,1022259910.0,ReneSola Ltd,1417892.0,66145780.0,34295590.0,34295590.0,-34698250.0,34295590.0,37336380.0,101350000.0,0.17102,80504730.0,2560710.0,1.0,34295590.0,1088405690.0,,904432120.0
1343719,99836000.0,,Oil and Gas Extraction,,1.0,-4500258000.0,-103421000.0,348884000.0,3679519000.0,Energy XXI Ltd,1343719.0,-2654085000.0,-2654086000.0,-2654086000.0,-1918751000.0,-2654086000.0,203258000.0,2200000.0,-27.13122,706527000.0,-1506030000.0,0.0,-2654086000.0,1025434000.0,339516000.0,256165000.0
1729244,,,,,,,,,,,,,,,,,,,,,,,,,,
949428,3261000.0,,Motor Vehicle Parts Manufacturing,965000.0,0.0,-223063000.0,-4578000.0,21330000.0,16227000.0,CDTi Advanced Materials Inc,949428.0,8603000.0,7120000.0,7120000.0,-23474000.0,7120000.0,7839000.0,24810000.0,2.26704,36839000.0,-28068000.0,1.0,7120000.0,24830000.0,,16227000.0
1627281,68000.0,,Scientific Research and Development Services,50000.0,0.0,-275130000.0,-289215000.0,312498000.0,58637000.0,Cellectis SA,1627281.0,272795000.0,271452000.0,271452000.0,-67255000.0,271452000.0,291159000.0,856530000.0,7.68452,56444000.0,-67302000.0,1.0,271452000.0,331432000.0,,56171000.0
1498403,343000.0,,Pharmaceutical and Medicine Manufacturing,,0.0,-164637000.0,-35280000.0,36101000.0,3912000.0,BioLine RX Ltd,1498403.0,35027000.0,34846000.0,34846000.0,-15841000.0,34846000.0,35623000.0,398300000.0,0.61098,0.0,-16513000.0,1.0,34846000.0,38939000.0,482000.0,3661000.0
1714921,,,,,,,,,,,,,,,,,,,,,,,,,,
