,ISIN,error
FLXS,US3393821034,
FLA,,No best match available
FPL1,,No best match available
DUK9,,No best match available
FPU,,No best match available
FRK,,No best match available
FLOW.,,No best match available
FLO,US3434981011,
FLR,US3434121022,
FONR,US3444374058,
DEG1,DE0007473043,
FSM.2,,No best match available
F,US3453708600,
F1,,No best match available
FCE.A,US3455501078,
FRX,,No best match available
FST,,No best match available
PVEN,,No best match available
FSTR,,No best match available
FWLT,CH0018666781,
FELE,US3535141028,
BEN,US3546131018,
FRWL,,No best match available
FEIM,US3580101067,
FRD,US3584351056,
FRS,,No best match available
FUJIY,US35958N1072,
FUL,US3596941068,
GK,,No best match available
GATX,US3614481030,
GSW.Z,,No best match available
AJG,US3635761097,
TGNA,,No best match available
GPS,US3647601083,
AJRD,US0078001056,
GNDIF,,No best match available
DNA,,No best match available
GAM,US3688021043,
GNRD,US3694876083,
MCLN,,No best match available
GD,US3695501086,
GE,US3696041033,
GE1,,No best match available
JOB,US36165A1025,
GKIN,US3701721082,
GIS,US3703341046,
ALLY,US02005N1000,
GM,US37045V1008,
EDS.,,No best match available
SPXC,US7846351044,
GCO,US3715321028,
3GENB,,No best match available
GNTX,US3719011096,
GPC,US3724601055,
GEOI.,,No best match available
SO2,,No best match available
GRB,,No best match available
GTY,US3742971092,
GIGA,,No best match available
GLT,US3773161043,
GSK,US37733W1053,
GSF.2,,No best match available
WSRC,US95952L2007,
GDRZF,CA38068N3067,
GLDC,,No best match available
WTMK,US96536P1057,
GDW,,No best match available
GV,US3813701055,
GR,,No best match available
GT,US3825501014,
GRC,,No best match available
KYTH,,No best match available
6283B,,No best match available
GRA,US38388F1084,
GGG,US3841091040,
GHM,US3845561063,
GWW,US3848021040,
GTN,US3893751061,
1737B,,No best match available
6284B,,No best match available
HEN.U,,No best match available
JFTSF,CA4661351003,
GNI,,No best match available
PXFG,US71903M2098,
GMP.1,,No best match available
ALSE,US0211522026,
GEF,US3976241071,
MGI,,No best match available
GRBEQ,US4000952048,
GLF,,No best match available
SO3,,No best match available
ETR7,,No best match available
GYRO,,No best match available
HEIIQ,US4041601034,
HMG,US4042321004,
ASPT,,No best match available
MRDG,US60461S1042,
NLX.2,,No best match available
HALX,US4057521068,
HAL,US4062161017,
HWG,,No best match available
JHS,US4101231037,
HDLM,US4102521006,
HKNI,US40420K7072,
JH,,No best match available
AXRX,US0311392072,
NRMH,US65542H1005,
LHX,US5024311095,
HSC,US4158641070,
HTMXQ,US4171191046,
HRVEQ,US4176604043,
HAS,,No best match available
AMOT,,No best match available
HVT,US4195961010,
HE1,KYG4600E1089,
HE,US4198701009,
HWKN,US4202611095,
HCSG,US4219061086,
WELL,,No best match available
STRL,,No best match available
HL,US4227041062,
HEI,US4228061093,
KHC,US5007541064,
AIH,,No best match available
HELE,BMG4388N1065,
HP,US4234521015,
HMENF,CA4236301020,
HPC,,No best match available
HRLY,US4273981021,
HSY,US4278661081,
HTZ,US42806J1060,
HPQ,US40434L1052,
HXL,US4282911084,
CRAWA,US22511P1003,
HRC,US4314751029,
HLT,US43300A2033,
HTHIY,US4335785071,
HFC,US4361061082,
PNK,,No best match available
HOOB,US4364341044,
HD,US4370761029,
HOFD,,No best match available
HNI,US4042511000,
HMC,US4381283088,
HPHWQ,,No best match available
HRL,US4404521001,
HNVD,US4107833026,
HOT,,No best match available
0780B,NL0013674013,
HBC1,GB0005405286,
CNP,US15189T1079,
HOV,US4424874018,
UBA,US9172862057,
HUBB,US4435106079,
HBAYF,CA4442181018,
HUG,,No best match available
JBHT,US4456581077,
HBAN,US4461501045,
HURC,US4473241044,
HTCH,US4484071067,
HBP,,No best match available
4300A,,No best match available
